//SQLite data types: https://www.sqlite.org/datatype3.html,,,,,,,,,,,,,,,,,,,,,,,
//wget -O azq_global_element_info_list.csv https://docs.google.com/spreadsheets/d/1ddl-g_qyoMYLF8PMkjrYPrpXusdinTZxsWLQOzJ6xu8/export?format=csv,,,,,,,,,,,,,,,,,,,,,,,
id,var_name,csharp_oldname,db_table,var_type,db_type,val_min,val_max,n_arg_max,name,expiry (millis),definition,category,omit_param_check,,,,,,,,,,
219,tablet_uuid,,log_info,String,text,0,0,1,Tablet UUID,,,Test Log Information,,,,,,,,,,,
220,tablet_mac_address,,log_info,String,text,0,0,1,Tablet MAC Address,,,Test Log Information,,,,,,,,,,,
221,tablet_start_script_time,,log_info,DateTime,datetime,0,0,1,Tablet Start Script Time,,,Test Log Information,,,,,,,,,,,
222,speedtest_download_throughput,,speedtest,Double,double,0,,,Speedtest Download Throughput,,,,,,,,,,,,,,
223,speedtest_upload_throughput,,speedtest,Double,double,0,,,Speedtest Upload Throughput,,,,,,,,,,,,,,
224,speedtest_max_download_throughput,,speedtest,Double,double,0,,,Speedtest Max Download Throughput,,,,,,,,,,,,,,
225,speedtest_max_upload_throughput,,speedtest,Double,double,0,,,Speedtest Max Upload Throughput,,,,,,,,,,,,,,
226,mobile_ip_v6,,android_info_2sec,String,text,0,0,1,Mobile IPv6,,,Other,,,,,,,,,,,
227,speedtest_jitter,,speedtest,Double,double,0,,,Speedtest Jitter,,,,,,,,,,,,,,
228,speedtest_latency,,speedtest,Double,double,0,,,Speedtest Latency,,,,,,,,,,,,,,
251,speedtest_server_id,,speedtest,Integer,smallint,,,,speedtest_server_id,,,,,,,,,,,,,,
252,speedtest_server_name,,speedtest,String,text,,,,speedtest_server_name,,,,,,,,,,,,,,
253,speedtest_internal_ip,,speedtest,String,text,,,,speedtest_internal_ip,,,,,,,,,,,,,,
254,speedtest_external_ip,,speedtest,String,text,,,,speedtest_external_ip,,,,,,,,,,,,,,
255,speedtest_version,,speedtest,String,text,,,,speedtest_version,,,,,,,,,,,,,,
256,speedtest_session_id,,speedtest,String,text,0,0,1,speedtest_session_id,,Unique session id for testing speedtestcum at https://azenqos.speedtestcustom.com/,Application test,,,,,,,,,,,
257,speedtest_connection_mode,,speedtest,String,text,,,,speedtest_connection_mode,,,,,,,,,,,,,,
258,speedtest_test_id,,speedtest,String,text,,,,speedtest_test_id,,,,,,,,,,,,,,
232,log_start_time,,logs,DateTime,,,,,,,,Test Log Information,,,,,,,,,,,
233,log_end_time,,logs,DateTime,,,,,,,,Test Log Information,,,,,,,,,,,
234,log_tag,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
235,log_ori_file_name,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
236,log_app_version,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
237,log_license_edition,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
238,log_required_pc_version,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
239,log_timezone_offset,,logs,String,,,,,,,,Test Log Information,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
261,line_session_id,,line,String,text,0,0,1,line_session_id,,,Other,,,,,,,,,,,
262,roaming_status,,android_info_2sec,Integer,smallint,0,0,1,Android Roaming Status,,,Other,,,,,,,,,,,
263,radio_param_technology,,android_info_2sec,String,text,,,,Radio Param Technology,,,Other,,,,,,,,,,,
301,ambient_temperature,,environment,Double,double,,,1,Ambient air temperature,,,Sensor,,,,,,,,,,,
302,Illuminance,,environment,Double,double,,,1,Illuminance,,,Sensor,,,,,,,,,,,
303,ambient_air_pressure,,environment,Double,double,,,1,Ambient air pressure,,,Sensor,,,,,,,,,,,
304,ambient_relative_humidity,,environment,Double,double,,,1,Ambient relative humidity,,,Sensor,,,,,,,,,,,
305,device_temperature,,environment,Double,double,,,1,Device temperature (Deprecated),,,Sensor,,,,,,,,,,,
306,thermal_zone_temperature,,environment,Double,double,,,8,Thermal zone temperature,,,Sensor,,,,,,,,,,,
307,thermal_zone_average,,environment,Double,double,,,1,Average thermal zone temperature,,,Sensor,,,,,,,,,,,
311,acceleration_x,,motion,Double,double,,,1,Acceleration force along the x axis,,,Sensor,,,,,,,,,,,
312,acceleration_y,,motion,Double,double,,,1,Acceleration force along the y axis,,,Sensor,,,,,,,,,,,
313,acceleration_z,,motion,Double,double,,,1,Acceleration force along the z axis,,,Sensor,,,,,,,,,,,
314,gravity_x,,motion,Double,double,,,1,Force of gravity along the x axis,,,Sensor,,,,,,,,,,,
315,gravity_y,,motion,Double,double,,,1,Force of gravity along the y axis,,,Sensor,,,,,,,,,,,
316,gravity_z,,motion,Double,double,,,1,Force of gravity along the z axis,,,Sensor,,,,,,,,,,,
317,rotation_x,,motion,Double,double,,,1,Rate of rotation around the x axis,,,Sensor,,,,,,,,,,,
318,rotation_y,,motion,Double,double,,,1,Rate of rotation around the y axis,,,Sensor,,,,,,,,,,,
319,rotation_z,,motion,Double,double,,,1,Rate of rotation around the z axis,,,Sensor,,,,,,,,,,,
331,game_rotation_vector_x,,position,Double,double,,,1,Gyroscope rotation vector component along the x axis,,,Sensor,,,,,,,,,,,
332,game_rotation_vector_y,,position,Double,double,,,1,Gyroscope rotation vector component along the y axis,,,Sensor,,,,,,,,,,,
333,game_rotation_vector_z,,position,Double,double,,,1,Gyroscope rotation vector component along the z axis,,,Sensor,,,,,,,,,,,
334,geomagnetic_rotation_vector_x,,position,Double,double,,,1,Magnetometer rotation vector component along the x axis,,,Sensor,,,,,,,,,,,
335,geomagnetic_rotation_vector_y,,position,Double,double,,,1,Magnetometer rotation vector component along the y axis,,,Sensor,,,,,,,,,,,
336,geomagnetic_rotation_vector_z,,position,Double,double,,,1,Magnetometer rotation vector component along the z axis,,,Sensor,,,,,,,,,,,
337,magnetic_field_x,,position,Double,double,,,1,Geomagnetic field strength along the x axis,,,Sensor,,,,,,,,,,,
338,magnetic_field_y,,position,Double,double,,,1,Geomagnetic field strength along the y axis,,,Sensor,,,,,,,,,,,
339,magnetic_field_z,,position,Double,double,,,1,Geomagnetic field strength along the z axis,,,Sensor,,,,,,,,,,,
340,orientation_x,,position,Double,double,,,1,Azimuth (angle around the z-axis),,,Sensor,,,,,,,,,,,
341,orientation_y,,position,Double,double,,,1,Pitch (angle around the x-axis),,,Sensor,,,,,,,,,,,
