,band,range,band_n,arfcn_start,arfcn_end,if_c,if_py
33,n79 ,693334 – <1> – 733333,79,693334,733333,if (arfcn >= 693334 && arfcn <= 733333) return 79;,if (arfcn >= 693334 and arfcn <= 733333) return 79
34,n90,499200 – <3> – 537999,90,499200,537999,if (arfcn >= 499200 && arfcn <= 537999) return 90;,if (arfcn >= 499200 and arfcn <= 537999) return 90
35,n91 ,285400 – <20> – 286400,91,285400,286400,if (arfcn >= 285400 && arfcn <= 286400) return 91;,if (arfcn >= 285400 and arfcn <= 286400) return 91
36,n92 ,286400 – <20> – 303400,92,286400,303400,if (arfcn >= 286400 && arfcn <= 303400) return 92;,if (arfcn >= 286400 and arfcn <= 303400) return 92
37,n93 ,285400 – <20> – 286400,93,285400,286400,if (arfcn >= 285400 && arfcn <= 286400) return 93;,if (arfcn >= 285400 and arfcn <= 286400) return 93
38,n94 ,286400 – <20> – 303400,94,286400,303400,if (arfcn >= 286400 && arfcn <= 303400) return 94;,if (arfcn >= 286400 and arfcn <= 303400) return 94
39,n257 ,2054166 – <1> – 2104165,257,2054166,2104165,if (arfcn >= 2054166 && arfcn <= 2104165) return 257;,if (arfcn >= 2054166 and arfcn <= 2104165) return 257
40,n258 ,2016667 – <1> – 2070832,258,2016667,2070832,if (arfcn >= 2016667 && arfcn <= 2070832) return 258;,if (arfcn >= 2016667 and arfcn <= 2070832) return 258
41,n259 ,2270832 – <1> – 2337499,259,2270832,2337499,if (arfcn >= 2270832 && arfcn <= 2337499) return 259;,if (arfcn >= 2270832 and arfcn <= 2337499) return 259
42,n260 ,2229166 – <1> – 2279165,260,2229166,2279165,if (arfcn >= 2229166 && arfcn <= 2279165) return 260;,if (arfcn >= 2229166 and arfcn <= 2279165) return 260
43,n261 ,2070833 – <1> – 2084999,261,2070833,2084999,if (arfcn >= 2070833 && arfcn <= 2084999) return 261;,if (arfcn >= 2070833 and arfcn <= 2084999) return 261
